sentiment,text,user
positive,RT @SportsCenter: The incredible reactions as Brandon Moreno became the first Mexican-born champion in UFC history https://t.co/HOmIqapMâ?¦,ILLADELL
neutral,RT @udonoodlez: CAN ANYBODY HEAR ME?????????????? https://t.co/gDXIoJNwAr,winniewastaken
positive,RT @cutest_ke: Guys how do u know she is a good rider? https://t.co/gxEvt3GDau,SaLeehMuhammed1
neutral,RT @SatishC19921514: We want to justice https://t.co/rIAVjGL5uT,Shankar38282307
negative,"Farmers in #Yinmarpin Tsp, Sagaing Division, staged a sesame harvest strike to overthrow the military dictatorship ¦ https://t.co/tcoxQWmSaV",takenbyCYN
positive,RT @UO3YbcMzmRSfGnA: We are not Hindus Separate vellalars from hindu \nWe are the real Vellalars.... https://t.co/hWHD39â?¦,EAMOEXqc6u9Rs9u
neutral,"RT @wonderofscience: Saturn's icy moon Enceladus captured by the Cassini spacecraft. The moon's surface is covered with fractures, folds",miss_sarahbb
positive,And here is some more local news on power reconnections. https://t.co/l5VjYsm1ku,MaryAnneThomas
positive,RT @tuanxcoco: MT Studio said that back in LA to prepare for his new song/content ,valkyrxsvn
neutral,RT @tinyskook: i wish one day you could see yourself with my eyes :( https://t.co/B96lN7Dqfx,bangtanutopiaa
negative,"RT @GemsOfBollywood: Comedian Atif Muhammad Aziz jokes on Indian Army, Ram Lala, Cow meat\n\nNothing hilarious to make anyone laugh. Audience",pruthapartha
neutral,RT @twilightreborn: twilight characters as cats - a thread: https://t.co/YmxNwXLqg3,Knowles_Bieber
neutral,RT @ItsMisola: Someone in the product team is in a long distance relationship.,umlfza
neutral,RT @pink_tamal: what if I made you heart shaped gorditas aha... unless https://t.co/rRv9YMmi8g,andreaaa0912
positive,Classic Tim https://t.co/qF5M73P8gK,c_debrosse1
positive,RT @RoyalFamily: Today is The Queen's Official Birthday A military parade held by @Householddiv is taking place in the Quadrangle of ,ProChristopher
positive,"RT @Evelyynhiii: Found 7 puppies on the side of the road today, they need a loving home. A simple retweet can find these babies a home",_LegendSahara
neutral,Alright do you have anything you wanted to do with your father before ' https://t.co/3629MJ3elC",DeathReimagined
neutral,"RT @hopeshighh02: I already got 102$ still short of 458$, please keep boosting",ohhsaturnn
negative,i.e. Boris JOHNSON is coming out as a RACIST and a COWARD. https://t.co/gn2QyxcTqB,mattprescott
